_id.stationId,_id.outageYear,_id.outageMonth,_id.outageDay,stop_name,line_code
"1277","2014","05","10","Cecil B. Moore Station","BSS"
"1277","2014","05","11","Cecil B. Moore Station","BSS"
"1277","2014","05","14","Cecil B. Moore Station","BSS"
"1277","2014","05","15","Cecil B. Moore Station","BSS"
"1277","2014","05","18","Cecil B. Moore Station","BSS"
"1277","2014","05","19","Cecil B. Moore Station","BSS"
"1277","2014","08","08","Cecil B. Moore Station","BSS"
"1277","2014","08","09","Cecil B. Moore Station","BSS"
"1277","2014","09","11","Cecil B. Moore Station","BSS"
"1277","2014","10","25","Cecil B. Moore Station","BSS"
"1277","2014","11","04","Cecil B. Moore Station","BSS"
"1277","2014","11","05","Cecil B. Moore Station","BSS"
"1277","2014","12","26","Cecil B. Moore Station","BSS"
"1279","2014","05","16","Spring Garden Station","BSS"
"1279","2014","05","17","Spring Garden Station","BSS"
"1279","2014","05","18","Spring Garden Station","BSS"
"1279","2014","06","16","Spring Garden Station","BSS"
"1279","2014","07","15","Spring Garden Station","BSS"
"1279","2014","07","16","Spring Garden Station","BSS"
"1279","2014","07","17","Spring Garden Station","BSS"
"1279","2014","07","18","Spring Garden Station","BSS"
"1279","2014","07","19","Spring Garden Station","BSS"
"1279","2014","07","20","Spring Garden Station","BSS"
"1279","2014","09","08","Spring Garden Station","BSS"
"1279","2014","11","05","Spring Garden Station","BSS"
"1279","2014","11","08","Spring Garden Station","BSS"
"1279","2014","12","10","Spring Garden Station","BSS"
"1279","2014","12","11","Spring Garden Station","BSS"
"1282","2014","06","18","Walnut Locust Station","BSS"
"1282","2014","06","19","Walnut Locust Station","BSS"
"1282","2014","07","06","Walnut Locust Station","BSS"
"1282","2014","07","15","Walnut Locust Station","BSS"
"1282","2014","07","16","Walnut Locust Station","BSS"
"1282","2014","09","12","Walnut Locust Station","BSS"
"1282","2014","09","13","Walnut Locust Station","BSS"
"1282","2014","10","06","Walnut Locust Station","BSS"
"1282","2014","10","14","Walnut Locust Station","BSS"
"1282","2014","10","21","Walnut Locust Station","BSS"
"1282","2014","10","22","Walnut Locust Station","BSS"
"1282","2014","11","30","Walnut Locust Station","BSS"
"1282","2014","12","06","Walnut Locust Station","BSS"
"1392","2014","11","04","15th St Station","MFL"
"1392","2014","11","05","15th St Station","MFL"
"1392","2014","11","06","15th St Station","MFL"
"1392","2014","11","20","15th St Station","MFL"
"1392","2014","11","28","15th St Station","MFL"
"1392","2014","11","29","15th St Station","MFL"
"1392","2014","11","30","15th St Station","MFL"
"1392","2014","12","01","15th St Station","MFL"
"1392","2014","12","02","15th St Station","MFL"
"1392","2014","12","03","15th St Station","MFL"
"1392","2014","12","04","15th St Station","MFL"
"1392","2014","12","05","15th St Station","MFL"
"1392","2014","12","06","15th St Station","MFL"
"1392","2014","12","07","15th St Station","MFL"
"1392","2014","12","08","15th St Station","MFL"
"1392","2014","12","09","15th St Station","MFL"
"1392","2014","12","10","15th St Station","MFL"
"1392","2014","12","11","15th St Station","MFL"
"1392","2014","12","13","15th St Station","MFL"
"1392","2014","12","14","15th St Station","MFL"
"1392","2014","12","15","15th St Station","MFL"
"1392","2014","12","25","15th St Station","MFL"
"1392","2014","12","26","15th St Station","MFL"
"1392","2014","12","27","15th St Station","MFL"
"1392","2014","12","28","15th St Station","MFL"
"1392","2014","12","29","15th St Station","MFL"
"1392","2014","12","30","15th St Station","MFL"
"1392","2014","12","31","15th St Station","MFL"
"1392","2015","01","01","15th St Station","MFL"
"142","2014","06","26","Allegheny Station","BSS"
"142","2014","11","25","Allegheny Station","BSS"
"142","2014","12","23","Allegheny Station","BSS"
"142","2014","12","29","Allegheny Station","BSS"
"142","2014","12","30","Allegheny Station","BSS"
"20965","2014","09","28","Fern Rock Transportation Center","BSS"
"20965","2014","10","25","Fern Rock Transportation Center","BSS"
"20965","2014","11","06","Fern Rock Transportation Center","BSS"
"20965","2014","11","21","Fern Rock Transportation Center","BSS"
"20966","2014","05","28","Girard Station","BSS"
"20966","2014","08","28","Girard Station","BSS"
"20966","2014","08","29","Girard Station","BSS"
"20966","2014","09","15","Girard Station","BSS"
"20966","2014","09","17","Girard Station","BSS"
"20967","2014","05","12","Oregon Station","BSS"
"20967","2014","05","13","Oregon Station","BSS"
"20967","2014","05","31","Oregon Station","BSS"
"20967","2014","06","01","Oregon Station","BSS"
"20967","2014","06","02","Oregon Station","BSS"
"20967","2014","06","03","Oregon Station","BSS"
"20967","2014","06","04","Oregon Station","BSS"
"20967","2014","06","05","Oregon Station","BSS"
"20967","2014","06","06","Oregon Station","BSS"
"20967","2014","06","07","Oregon Station","BSS"
"20967","2014","06","08","Oregon Station","BSS"
"20967","2014","06","09","Oregon Station","BSS"
"20967","2014","08","29","Oregon Station","BSS"
"20967","2014","08","30","Oregon Station","BSS"
"20967","2014","09","04","Oregon Station","BSS"
"20967","2014","09","05","Oregon Station","BSS"
"20967","2014","11","12","Oregon Station","BSS"
"21532","2014","05","09","30th St Station","MFL"
"21532","2014","05","10","30th St Station","MFL"
"21532","2014","05","11","30th St Station","MFL"
"21532","2014","05","13","30th St Station","MFL"
"21532","2014","05","16","30th St Station","MFL"
"21532","2014","05","19","30th St Station","MFL"
"21532","2014","05","20","30th St Station","MFL"
"21532","2014","05","21","30th St Station","MFL"
"21532","2014","05","31","30th St Station","MFL"
"21532","2014","06","01","30th St Station","MFL"
"21532","2014","06","02","30th St Station","MFL"
"21532","2014","06","03","30th St Station","MFL"
"21532","2014","06","04","30th St Station","MFL"
"21532","2014","06","05","30th St Station","MFL"
"21532","2014","06","06","30th St Station","MFL"
"21532","2014","06","07","30th St Station","MFL"
"21532","2014","06","08","30th St Station","MFL"
"21532","2014","06","09","30th St Station","MFL"
"21532","2014","06","10","30th St Station","MFL"
"21532","2014","06","11","30th St Station","MFL"
"21532","2014","06","12","30th St Station","MFL"
"21532","2014","06","13","30th St Station","MFL"
"21532","2014","06","14","30th St Station","MFL"
"21532","2014","06","15","30th St Station","MFL"
